CDate,Vteam,Hteam
Fri Dec 15 2017,New Orleans Pelicans,Denver Nuggets
Fri Dec 15 2017,San Antonio Spurs,Houston Rockets
Fri Dec 15 2017,Detroit Pistons,Indiana Pacers
Fri Dec 15 2017,Atlanta Hawks,Memphis Grizzlies
Fri Dec 15 2017,Chicago Bulls,Milwaukee Bucks
Fri Dec 15 2017,Portland Trail Blazers,Orlando Magic
Fri Dec 15 2017,Oklahoma City Thunder,Philadelphia 76ers
Fri Dec 15 2017,Brooklyn Nets,Toronto Raptors
Fri Dec 15 2017,Los Angeles Clippers,Washington Wizards
Sat Dec 16 2017,Portland Trail Blazers,Charlotte Hornets
Sat Dec 16 2017,Utah Jazz,Cleveland Cavaliers
Sat Dec 16 2017,Milwaukee Bucks,Houston Rockets
Sat Dec 16 2017,Boston Celtics,Memphis Grizzlies
Sat Dec 16 2017,Los Angeles Clippers,Miami Heat
Sat Dec 16 2017,Phoenix Suns,Minnesota Timberwolves
Sat Dec 16 2017,Oklahoma City Thunder,New York Knicks
Sat Dec 16 2017,Dallas Mavericks,San Antonio Spurs
Sun Dec 17 2017,Indiana Pacers,Brooklyn Nets
Sun Dec 17 2017,Orlando Magic,Detroit Pistons
Sun Dec 17 2017,Sacramento Kings,Toronto Raptors
Sun Dec 17 2017,Cleveland Cavaliers,Washington Wizards
Mon Dec 18 2017,Miami Heat,Atlanta Hawks
Mon Dec 18 2017,Philadelphia 76ers,Chicago Bulls
Mon Dec 18 2017,New York Knicks,Charlotte Hornets
Mon Dec 18 2017,Phoenix Suns,Dallas Mavericks
Mon Dec 18 2017,Utah Jazz,Houston Rockets
Mon Dec 18 2017,Boston Celtics,Indiana Pacers
Mon Dec 18 2017,Golden State Warriors,Los Angeles Lakers
Mon Dec 18 2017,Portland Trail Blazers,Minnesota Timberwolves
Mon Dec 18 2017,Denver Nuggets,Oklahoma City Thunder
Mon Dec 18 2017,Los Angeles Clippers,San Antonio Spurs
Tue Dec 19 2017,Cleveland Cavaliers,Milwaukee Bucks
Tue Dec 19 2017,Sacramento Kings,Philadelphia 76ers
Tue Dec 19 2017,New Orleans Pelicans,Washington Wizards
Wed Dec 20 2017,Indiana Pacers,Atlanta Hawks
Wed Dec 20 2017,Miami Heat,Boston Celtics
Wed Dec 20 2017,Sacramento Kings,Brooklyn Nets
Wed Dec 20 2017,Orlando Magic,Chicago Bulls
Wed Dec 20 2017,Toronto Raptors,Charlotte Hornets
Wed Dec 20 2017,Detroit Pistons,Dallas Mavericks
Wed Dec 20 2017,Minnesota Timberwolves,Denver Nuggets
Wed Dec 20 2017,Memphis Grizzlies,Golden State Warriors
Wed Dec 20 2017,Los Angeles Lakers,Houston Rockets
Wed Dec 20 2017,Phoenix Suns,Los Angeles Clippers
Wed Dec 20 2017,Utah Jazz,Oklahoma City Thunder
Wed Dec 20 2017,San Antonio Spurs,Portland Trail Blazers
Thu Dec 21 2017,Chicago Bulls,Cleveland Cavaliers
Thu Dec 21 2017,Boston Celtics,New York Knicks
Thu Dec 21 2017,Toronto Raptors,Philadelphia 76ers
Thu Dec 21 2017,Memphis Grizzlies,Phoenix Suns
Thu Dec 21 2017,San Antonio Spurs,Utah Jazz
Fri Dec 22 2017,Washington Wizards,Brooklyn Nets
Fri Dec 22 2017,New York Knicks,Detroit Pistons
Fri Dec 22 2017,Los Angeles Lakers,Golden State Warriors
Fri Dec 22 2017,Los Angeles Clippers,Houston Rockets
Fri Dec 22 2017,Dallas Mavericks,Miami Heat
Fri Dec 22 2017,Charlotte Hornets,Milwaukee Bucks
Fri Dec 22 2017,Atlanta Hawks,Oklahoma City Thunder
Fri Dec 22 2017,New Orleans Pelicans,Orlando Magic
Fri Dec 22 2017,Denver Nuggets,Portland Trail Blazers
Sat Dec 23 2017,Dallas Mavericks,Atlanta Hawks
Sat Dec 23 2017,Chicago Bulls,Boston Celtics
Sat Dec 23 2017,Milwaukee Bucks,Charlotte Hornets
Sat Dec 23 2017,Denver Nuggets,Golden State Warriors
Sat Dec 23 2017,Brooklyn Nets,Indiana Pacers
Sat Dec 23 2017,Portland Trail Blazers,Los Angeles Lakers
Sat Dec 23 2017,Los Angeles Clippers,Memphis Grizzlies
Sat Dec 23 2017,New Orleans Pelicans,Miami Heat
Sat Dec 23 2017,Minnesota Timberwolves,Phoenix Suns
Sat Dec 23 2017,San Antonio Spurs,Sacramento Kings
Sat Dec 23 2017,Philadelphia 76ers,Toronto Raptors
Sat Dec 23 2017,Oklahoma City Thunder,Utah Jazz
