date,win,lose,probability
Tue Dec 12 2017,Washington Wizards,Brooklyn Nets,0.79108734026715111
Tue Dec 12 2017,Cleveland Cavaliers,Atlanta Hawks,0.74293295689038519
Tue Dec 12 2017,San Antonio Spurs,Dallas Mavericks,0.78887628229400852
Tue Dec 12 2017,Detroit Pistons,Denver Nuggets,0.66123264893519906
Tue Dec 12 2017,Minnesota Timberwolves,Philadelphia 76ers,0.79462954488274251
Tue Dec 12 2017,New York Knicks,Los Angeles Lakers,0.78018368705937258
Tue Dec 12 2017,Sacramento Kings,Phoenix Suns,0.69507644429054305
Wed Dec 13 2017,Boston Celtics,Denver Nuggets,0.75415003534791347
Wed Dec 13 2017,Chicago Bulls,Utah Jazz,0.57296688246743765
Wed Dec 13 2017,Charlotte Hornets,Houston Rockets,0.55829204827381096
Wed Dec 13 2017,Oklahoma City Thunder,Indiana Pacers,0.69178284890172204
Wed Dec 13 2017,Miami Heat,Portland Trail Blazers,0.54965808569855146
Wed Dec 13 2017,New Orleans Pelicans,Milwaukee Bucks,0.50504933845996791
Wed Dec 13 2017,Los Angeles Clippers,Orlando Magic,0.70616658001505894
Wed Dec 13 2017,Toronto Raptors,Phoenix Suns,0.85814275440431809
Wed Dec 13 2017,Washington Wizards,Memphis Grizzlies,0.63442088352759396
Thu Dec 14 2017,Atlanta Hawks,Detroit Pistons,0.61411589925410492
Thu Dec 14 2017,New York Knicks,Brooklyn Nets,0.62776123091940805
Thu Dec 14 2017,Cleveland Cavaliers,Los Angeles Lakers,0.96332289774124447
Thu Dec 14 2017,Golden State Warriors,Dallas Mavericks,0.89869966978854832
Thu Dec 14 2017,Sacramento Kings,Minnesota Timberwolves,0.52307403760794935
Fri Dec 15 2017,Boston Celtics,Utah Jazz,0.66770122666687237
Fri Dec 15 2017,Charlotte Hornets,Miami Heat,0.56528459350036731
Fri Dec 15 2017,Denver Nuggets,New Orleans Pelicans,0.54568754402534025
Fri Dec 15 2017,San Antonio Spurs,Houston Rockets,0.79474659162524952
Fri Dec 15 2017,Indiana Pacers,Detroit Pistons,0.56798738789849657
Fri Dec 15 2017,Atlanta Hawks,Memphis Grizzlies,0.6719123502422667
Fri Dec 15 2017,Chicago Bulls,Milwaukee Bucks,0.58662335147772893
Fri Dec 15 2017,Portland Trail Blazers,Orlando Magic,0.68140892250579366
Fri Dec 15 2017,Oklahoma City Thunder,Philadelphia 76ers,0.95932969619402242
Fri Dec 15 2017,Toronto Raptors,Brooklyn Nets,0.92533536059961297
Fri Dec 15 2017,Los Angeles Clippers,Washington Wizards,0.61663075571063186
Sat Dec 16 2017,Charlotte Hornets,Portland Trail Blazers,0.52723242006393767
Sat Dec 16 2017,Cleveland Cavaliers,Utah Jazz,0.83614928033602676
Sat Dec 16 2017,Houston Rockets,Milwaukee Bucks,0.71150646508494353
Sat Dec 16 2017,Boston Celtics,Memphis Grizzlies,0.65700096026551336
Sat Dec 16 2017,Miami Heat,Los Angeles Clippers,0.52066456620563806
Sat Dec 16 2017,Minnesota Timberwolves,Phoenix Suns,0.64119088051623707
Sat Dec 16 2017,Oklahoma City Thunder,New York Knicks,0.83718408207374662
Sat Dec 16 2017,San Antonio Spurs,Dallas Mavericks,0.87061483983242494
Sun Dec 17 2017,Indiana Pacers,Brooklyn Nets,0.84042537672119288
Sun Dec 17 2017,Detroit Pistons,Orlando Magic,0.6538648047420047
Sun Dec 17 2017,Toronto Raptors,Sacramento Kings,0.84229336079395223
Sun Dec 17 2017,Cleveland Cavaliers,Washington Wizards,0.74643568690628048
Mon Dec 18 2017,Atlanta Hawks,Miami Heat,0.56150807315233675
Mon Dec 18 2017,Chicago Bulls,Philadelphia 76ers,0.90274842539272693
Mon Dec 18 2017,Charlotte Hornets,New York Knicks,0.80968777473375975
